stock_name,stock_code,is_shariah,category
BARAKAH,7251,True,"Energy, Infrastructure, Equipment &Services"
TECHNAX,2739,True,Other Energy Resources
PGB,0091,True,"Energy, Infrastructure, Equipment &Services"
SCGM,7247,True,Packaging Materials
CARLSBG,2836,False,Food &Beverages
HEIM,3255,False,Food &Beverages
NESTLE,4707,True,Food &Beverages
EATECH,5259,True,Transportation &Logistics Services
POLYDM,03031,True,"Industrial Materials, Components &Equipment"
RPLANET,03036,False,Digital Services
TIMECOM,5031,True,Telecommunications Service Providers
M &G,5078,True,Transportation &Logistics Services
BAT,4162,False,Personal Goods
SCOMIES,7045,True,"Energy, Infrastructure, Equipment &Services"
UCHITEC,7100,True,"Industrial Materials, Components &Equipment"
SKHAWK,03049,True,"Energy, Infrastructure, Equipment &Services"
ENEST,03025,True,Consumer Services
ICON,5255,True,"Energy, Infrastructure, Equipment &Services"
CRG,03016,True,Personal Goods
SAPRES,4596,True,Property
CETECH,03024,True,Industrial Services
MMIS,03027,True,"Industrial Materials, Components &Equipment"
AXIATA,6888,True,Telecommunications Service Providers
MHCARE,03005,True,Health Care Providers
TOMYPAK,7285,False,Packaging Materials
COMCORP,7195,True,"Industrial Materials, Components &Equipment"
BAUTO,5248,True,Automotive
TOPVISN,03013,True,Health Care Providers
OMESTI,9008,True,Digital Services
SEM,5250,False,Retailers
INFOM,0265,True,Technology Equipment
LSH,03047,True,Construction
GASMSIA,5209,True,"Gas, Water &Multi-Utilities"
FOCUSP,0157,True,Personal Goods
SEERS,03009,True,Houshold Goods
SMRT,0117,True,Digital Services
AMWAY,6351,True,Retailers
MRDIY,5296,True,Retailers
SLIC,03008,True,Digital Services
WELLCAL,7231,True,"Industrial Materials, Components &Equipment"
INFOTEC,0253,False,Digital Services
ELSOFT,0090,True,Technology Equipment
COASTAL,5071,False,"Energy, Infrastructure, Equipment &Services"
FSBM,9377,True,Technology Equipment
SCICOM,0099,False,Industrial Services
BURSA,1818,True,Other Financials
1TECH,03041,False,Software
AURORA,03037,True,Personal Goods
NPS,03006,True,Pharmaceuticals
MBL,5152,True,"Industrial Materials, Components &Equipment"
CIHLDG,2828,True,Food &Beverages
ALCOM,2674,False,Metals
KOTRA,0002,True,Pharmaceuticals
HARBOUR,2062,True,Transportation &Logistics Services
OPTIMAX,0222,True,Health Care Providers
KGB,0151,True,Industrial Engineering
IDBTECH,03030,False,Software
SMISCOR,7132,True,Auto Parts
SJC,9431,True,Media
TRIVE,0118,True,Technology Equipment
PADINI,7052,True,Retailers
HUPSENG,5024,True,Food &Beverages
ECA,0267,True,Technology Equipment
SDS,0212,True,Food &Beverages
ICTZONE,03038,True,Technology Equipment
UTDPLT,2089,True,Plantation
PTRB,0260,True,Food &Beverages
WPRTS,5246,True,Transportation &Logistics Services
REDTONE,0032,True,Telecommunications Service Providers
ASTRA,03032,False,Food &Beverages
TAKAFUL,6139,True,Insurance
MYEG,0138,True,Digital Services
INNO,6262,True,Plantation
REXIT,0106,False,Software
SPTOTO,1562,False,"Travel, Leisure &Hospitality"
GREATEC,0208,True,Technology Equipment
BABA,03012,True,Houshold Goods
FRONTKN,0128,True,Semiconductors
DSONIC,5216,True,Digital Services
HIBISCS,5199,True,Oil &Gas Producers
SNS,0259,True,Technology Equipment
DYNAFNT,03046,False,Software
MAXIS,6012,True,Telecommunications Service Providers
UWC,5292,True,Semiconductors
TSH,9059,True,Plantation
SFPTECH,0251,True,Semiconductors
L &PBHD,0268,True,Industrial Services
SUPREME,03018,True,Consumer Services
FBBHD,03026,True,Industrial Services
FPI,9172,True,Houshold Goods
SEG,9792,True,Consumer Services
BJFOOD,5196,True,"Travel, Leisure &Hospitality"
PMETAL,8869,True,Metals
VITROX,0097,True,Semiconductors
LEESK,8079,True,Houshold Goods
AGMO,0258,True,Software
RCECAP,9296,True,Other Financials
MAYBULK,5077,False,Transportation &Logistics Services
SYGROUP,5173,True,Transportation &Logistics Services
PWROOT,7237,True,Food &Beverages
GENETEC,0104,True,Technology Equipment
CAB,7174,True,Agricultural Products
KMLOONG,5027,True,Plantation
CCK,7035,True,Food &Beverages
GAMUDA,5398,True,Construction
PETDAG,5681,True,Retailers
INGENIEU,5178,True,Metals
EDEN,7471,True,Electricity
PECCA,5271,True,Auto Parts
VLB,0273,True,Construction
SUNCON,5263,True,Construction
FGV,5222,True,Plantation
SKPRES,7155,True,"Industrial Materials, Components &Equipment"
CNERGEN,0246,True,Technology Equipment
TOMEI,7230,True,Retailers
HARISON,5008,False,Food &Beverages
NATGATE,0270,True,"Industrial Materials, Components &Equipment"
LAGENDA,7179,True,Property
SEB,5163,True,Industrial Engineering
TAS,5149,False,Transportation Equipment
GREENYB,0136,True,Agricultural Products
CORAZA,0240,True,Industrial Engineering
ASTRO,6399,False,Media
MASTER,7029,True,Packaging Materials
SUNMOW,03050,True,Construction
PRKCORP,8346,True,Transportation &Logistics Services
F &N,3689,True,Food &Beverages
QES,0196,True,"Industrial Materials, Components &Equipment"
TGL,9369,False,Personal Goods
VSTECS,5162,True,Technology Equipment
BONIA,9288,True,Personal Goods
CENGILD,0243,True,Health Care Providers
BVLH,03042,True,Construction
SENFONG,5308,True,Industrial Services
MOBILIA,0229,True,Houshold Goods
GPHAROS,5649,True,Wood &Wood Products
EFRAME,0227,True,Building Materials
AJIYA,7609,True,Building Materials
ANCOMNY,4758,True,Chemicals
ESCERAM,0100,True,"Industrial Materials, Components &Equipment"
AEONCR,5139,False,Other Financials
MTAG,0213,True,Industrial Services
IOICORP,1961,True,Plantation
INNATURE,5295,True,Personal Goods
TM,4863,True,Telecommunications Service Providers
TPC,7176,True,Agricultural Products
KYM,8362,True,Packaging Materials
ARMADA,5210,False,"Energy, Infrastructure, Equipment &Services"
LIIHEN,7089,True,Houshold Goods
OPENSYS,0040,False,Software
RANHILL,5272,True,"Gas, Water &Multi-Utilities"
LPI,8621,False,Insurance
CTOS,5301,True,Digital Services
YINSON,7293,False,"Energy, Infrastructure, Equipment &Services"
TAANN,5012,True,Plantation
MCEHLDG,7004,True,Auto Parts
KEINHIN,7199,True,Metals
TASCO,5140,True,Transportation &Logistics Services
KPPROP,7077,True,Property
DKSH,5908,True,Consumer Services
HLIND,3301,True,Automotive
PA,7225,True,Metals
POHKONG,5080,True,Retailers
ITMAX,5309,True,Digital Services
YOCB,5159,True,Houshold Goods
PANTECH,5125,True,Metals
HHRG,0175,True,"Industrial Materials, Components &Equipment"
GFM,0039,True,Industrial Services
INARI,0166,True,Semiconductors
SCIENTX,4731,True,Packaging Materials
PENTA,7160,True,Technology Equipment
APOLLO,6432,True,Food &Beverages
MBMR,5983,True,Automotive
CHINHIN,5273,True,Building Materials
MFCB,3069,True,Electricity
MPHBCAP,5237,False,Property
QL,7084,True,Agricultural Products
PETRONM,3042,True,Oil &Gas Producers
WEGMANS,0197,True,Houshold Goods
RTSTECH,03039,True,Software
ATECH,5302,True,"Industrial Materials, Components &Equipment"
LGMS,0249,True,Digital Services
PELIKAN,5231,True,Consumer Services
AME,5293,True,Construction
SKBSHUT,7115,True,Building Materials
ECOMATE,0239,True,Houshold Goods
SUNVIEW,0262,True,Industrial Services
PETGAS,6033,True,"Gas, Water &Multi-Utilities"
UMC,0256,True,Health Care Equipment &Services
PIE,7095,True,"Industrial Materials, Components &Equipment"
PBBANK,1295,False,Banking
TAFI,7211,True,Houshold Goods
BPPLAS,5100,True,Packaging Materials
PCHEM,5183,True,Chemicals
AHEALTH,7090,True,Pharmaceuticals
FAREAST,5029,True,Plantation
FM,7210,True,Transportation &Logistics Services
BETA,0263,True,Auto Parts
KTC,0180,True,Consumer Services
SCIPACK,8125,True,Packaging Materials
CARIMIN,5257,True,"Energy, Infrastructure, Equipment &Services"
DCHCARE,0283,False,Health Care Providers
MFGROUP,03015,True,Consumer Services
MAGNI,7087,True,Personal Goods
AFFIN,5185,False,Banking
MICROLN,0126,True,Digital Services
HEKTAR,5121,False,Real Estate Investment Trusts
KLK,2445,True,Plantation
GTRONIC,7022,True,Semiconductors
PPHB,8273,True,Packaging Materials
CHINAETF-MYR,0829EA,False,Equity Fund
EDELTEQ,0278,True,Technology Equipment
TGUAN,7034,True,Packaging Materials
SIMEPLT,5285,True,Plantation
BKAWAN,1899,True,Plantation
PRG,7168,True,Personal Goods
DELEUM,5132,True,"Energy, Infrastructure, Equipment &Services"
ADB,0276,False,Software
CAMRES,7128,True,Houshold Goods
HLBANK,5819,False,Banking
KLCI1XI,0835EA,False,
JAYCORP,7152,True,Houshold Goods
ALLIANZ,1163,False,Insurance
MAGNA,7617,True,Property
HAPSENG,3034,False,Diversified Industrials
AMEREIT,5307,True,Real Estate Investment Trusts
SENHENG,5305,True,Retailers
HLFG,1082,False,Banking
DPHARMA,7148,True,Pharmaceuticals
LHI,6633,False,Agricultural Products
DXN,5318,True,Retailers
HOMERIZ,5160,True,Houshold Goods
SAMAIDEN,0223,True,Industrial Services
RAMSSOL,0236,True,Software
KRETAM,1996,True,Plantation
FCW,2755,False,Houshold Goods
TIMWELL,7854,True,Wood &Wood Products
MATRIX,5236,True,Property
AIMFLEX,0209,True,Technology Equipment
IGBREIT,5227,False,Real Estate Investment Trusts
PCCS,6068,True,Personal Goods
KERJAYA,7161,True,Construction
FPGROUP,5277,True,"Industrial Materials, Components &Equipment"
MESTRON,0207,True,Metals
UMW,4588,True,Automotive
JTIASA,4383,True,Plantation
POHUAT,7088,True,Houshold Goods
TEOSENG,7252,False,Agricultural Products
JFTECH,0146,True,Technology Equipment
KOBAY,6971,True,"Industrial Materials, Components &Equipment"
ALSREIT,5269,True,Real Estate Investment Trusts
YENHER,5300,False,Agricultural Products
DPS,7198,True,Property
CLOUDPT,0277,True,Digital Services
MARCO,3514,False,Personal Goods
YSPSAH,7178,True,Pharmaceuticals
ELKDESA,5228,False,Other Financials
RGTECH,0202,True,Digital Services
PANAMY,3719,False,Houshold Goods
ABMB,2488,False,Banking
MPSOL,03019,True,Consumer Services
SAM,9822,True,"Industrial Materials, Components &Equipment"
LBALUM,9326,True,Metals
SOP,5126,True,Plantation
TEXCYCL,0089,True,Industrial Services
MFLOUR,3662,True,Food &Beverages
SLVEST,0215,True,Industrial Services
TONGHER,5010,True,Metals
MAYBANK,1155,False,Banking
PRLEXUS,8966,True,Personal Goods
UTAMA,03043,True,Building Materials
BTECH,0011,True,"Gas, Water &Multi-Utilities"
PTRANS,0186,True,"Travel, Leisure &Hospitality"
FLBHD,5197,True,Wood &Wood Products
DUFU,7233,True,"Industrial Materials, Components &Equipment"
DANCO,5276,True,"Industrial Materials, Components &Equipment"
KAWAN,7216,True,Food &Beverages
AMBANK,1015,False,Banking
RHBBANK,1066,False,Banking
UNIMECH,7091,True,"Industrial Materials, Components &Equipment"
BERTAM,9814,True,Property
SCOMNET,0001,True,Health Care Equipment &Services
KITACON,5310,True,Construction
MMSV,0113,True,Technology Equipment
KIPREIT,5280,False,Real Estate Investment Trusts
MNHLDG,0245,True,Construction
MSTGOLF,5316,True,Retailers
DIALOG,7277,True,"Energy, Infrastructure, Equipment &Services"
INSAS,3379,False,Other Financials
KPJ,5878,True,Health Care Providers
HHHCORP,0160,True,Industrial Services
AYS,5021,True,Building Materials
PWRWELL,0217,True,"Industrial Materials, Components &Equipment"
SWKPLNT,5135,True,Plantation
OIB,5827,True,Property
YXPM,0250,True,Personal Goods
CHINWEL,5007,True,"Industrial Materials, Components &Equipment"
WOODLAN,7025,True,Wood &Wood Products
ULICORP,7133,True,"Industrial Materials, Components &Equipment"
SNOWFIT,03054,True,Houshold Goods
LBS,5789,True,Property
PAVREIT,5212,False,Real Estate Investment Trusts
ABLEGLOB,7167,True,Food &Beverages
IHH,5225,True,Health Care Providers
WCEHB,3565,False,Construction
ARANK,7214,True,Metals
CIMB,1023,False,Banking
PPB,4065,True,Food &Beverages
SHH,7412,True,Houshold Goods
DLADY,3026,True,Food &Beverages
THPLANT,5112,True,Plantation
SAPIND,7811,True,Auto Parts
HAILY,0237,True,Construction
FIBON,0149,False,"Industrial Materials, Components &Equipment"
CMSB,2852,True,Building Materials
OFI,7107,True,Food &Beverages
FIAMMA,6939,True,Houshold Goods
HEXIND,0161,True,"Industrial Materials, Components &Equipment"
KSENG,3476,False,Diversified Industrials
IBRACO,5084,True,Property
FFB,5306,True,Food &Beverages
HPPHB,0228,True,Packaging Materials
LTKM,7085,True,Agricultural Products
OSK,5053,False,Property
MSC,5916,False,Metals
GENP,2291,True,Plantation
CSCENIC,7202,True,Houshold Goods
KSL,5038,True,Property
TAMBUN,5191,True,Property
RHONEMA,5278,False,Agricultural Products
RGB,0037,False,"Travel, Leisure &Hospitality"
OPPSTAR,0275,False,Semiconductors
PGF,8117,True,Building Materials
CCIB,03053,True,Consumer Services
PENERGY,5133,True,"Energy, Infrastructure, Equipment &Services"
MEDIA,4502,False,Media
CHINTEK,1929,False,Plantation
AWC,7579,True,Industrial Services
HSSEB,0185,True,Industrial Engineering
THETA,9075,True,Digital Services
YTLPOWR,6742,False,"Gas, Water &Multi-Utilities"
EFORCE,0065,True,Software
MBN,0280,False,Consumer Services
T7GLOBAL,7228,True,"Energy, Infrastructure, Equipment &Services"
CEKD,0238,True,"Industrial Materials, Components &Equipment"
TALIWRK,8524,True,"Gas, Water &Multi-Utilities"
KHIND,7062,True,Houshold Goods
GCB,5102,True,Food &Beverages
SIME,4197,True,Automotive
NCT,0056,True,Property
SLP,7248,True,Packaging Materials
AYER,2305,True,Property
CHGP,7187,True,Transportation Equipment
HSPLANT,5138,True,Plantation
BIMB,5258,True,Banking
KFIMA,6491,True,Diversified Industrials
CGB,8052,True,Packaging Materials
FIHB,8605,True,Houshold Goods
WILLOW,0008,False,Software
INTA,0192,True,Construction
DAY3,0281,True,Consumer Services
UNISEM,5005,True,Semiconductors
EVD,0174,False,Software
APB,5568,True,Industrial Engineering
IDEAL,9687,True,Property
UMSNGB,7227,True,"Industrial Materials, Components &Equipment"
DAYANG,5141,True,"Energy, Infrastructure, Equipment &Services"
VS,6963,True,"Industrial Materials, Components &Equipment"
IOIPG,5249,False,Property
MUH,9539,True,Property
AEON,6599,True,Retailers
JCBNEXT,0058,False,Industrial Services
PEKAT,0233,True,Industrial Services
NHFATT,7060,True,Automotive
COSMOS,0261,True,Industrial Services
ATRIUM,5130,False,Real Estate Investment Trusts
OPCOM,0035,True,Telecommunications Equipment
MELATI,5129,True,Construction
SWIFT,5303,True,Transportation &Logistics Services
ANALABS,7083,False,Industrial Services
MAXIM,4022,True,Property
GDB,0198,True,Construction
IRIS,0010,True,Software
SUNWAY,5211,True,Diversified Industrials
TTVHB,0272,True,Semiconductors
3A,0012,True,Food &Beverages
MI,5286,True,Technology Equipment
TECHBND,5289,True,Chemicals
SUNREIT,5176,False,Real Estate Investment Trusts
HUMEIND,5000,False,Building Materials
BIPORT,5032,True,Transportation &Logistics Services
MPI,3867,True,Semiconductors
SGBHD,03033,True,Industrial Services
AXREIT,5106,True,Real Estate Investment Trusts
OSKVI,0053,False,Other Financials
TENAGA,5347,True,Electricity
NOVA,0201,True,Pharmaceuticals
SHL,6017,True,Property
PTT,7010,True,Property
PMBTECH,7172,True,Metals
LAYHONG,9385,True,Agricultural Products
VIS,0120,False,Semiconductors
FIMACOR,3107,True,Industrial Services
SASBADI,5252,True,Media
UOAREIT,5110,False,Real Estate Investment Trusts
PPJACK,0242,False,Other Financials
HEXTAR,5151,True,Chemicals
ASTINO,7162,True,Building Materials
CDB,6947,True,Telecommunications Service Providers
KPS,5843,True,Diversified Industrials
VOLCANO,0232,True,Industrial Services
BOILERM,0168,True,"Industrial Materials, Components &Equipment"
GESHEN,7197,False,"Industrial Materials, Components &Equipment"
TRIMODE,0199,True,Transportation &Logistics Services
OKA,7140,True,Building Materials
SAMCHEM,5147,False,Chemicals
MGB,7595,True,Construction
N2N,0108,True,Software
TMCLIFE,0101,True,Health Care Providers
HIL,8443,True,Chemicals
FAVCO,7229,True,Industrial Engineering
SCGBHD,0225,True,"Industrial Materials, Components &Equipment"
IQGROUP,5107,True,Houshold Goods
GHLSYS,0021,True,Digital Services
HIGHTEC,7033,True,Industrial Engineering
BPLANT,5254,True,Plantation
UZMA,7250,True,"Energy, Infrastructure, Equipment &Services"
PWF,7134,True,Agricultural Products
SSB8,0045,True,Construction
MBSB,1171,True,Other Financials
MISC,3816,True,Transportation &Logistics Services
HPMT,5291,True,"Industrial Materials, Components &Equipment"
TELADAN,0230,True,Property
YBS,0025,True,"Industrial Materials, Components &Equipment"
ALAQAR,5116,True,Real Estate Investment Trusts
HUBLINE,7013,True,Transportation &Logistics Services
ATLAN,7048,False,Retailers
OCK,0172,True,Telecommunications Service Providers
CWG,9423,True,Consumer Services
KHJB,0210,True,Retailers
D &O,7204,True,Semiconductors
KKB,9466,True,Industrial Engineering
KARYON,0054,True,Chemicals
MSNIAGA,5011,True,Digital Services
BESHOM,7668,False,Retailers
LYSAGHT,9199,False,Metals
PBA,5041,True,"Gas, Water &Multi-Utilities"
AJI,2658,True,Food &Beverages
PJBUMI,7163,True,Industrial Services
EITA,5208,True,"Industrial Materials, Components &Equipment"
MAHSING,8583,True,Property
HCK,7105,True,Property
TANCO,2429,True,Property
ASIABRN,7722,True,Personal Goods
KUB,6874,True,Industrial Services
BIG,7005,True,Diversified Industrials
EUPE,6815,True,Property
ILB,5614,False,Transportation &Logistics Services
LITRAK,6645,True,Transportation &Logistics Services
PTARAS,9598,True,Construction
HLCAP,5274,False,Other Financials
SPRITZER,7103,True,Food &Beverages
CEB,5311,False,Diversified Industrials
SUCCESS,7207,True,"Industrial Materials, Components &Equipment"
KPSCB,9121,True,Wood &Wood Products
EG,8907,True,"Industrial Materials, Components &Equipment"
SOLID,5242,True,Automotive
CENSOF,5195,True,Software
YTLREIT,5109,False,Real Estate Investment Trusts
MAGNUM,3859,False,"Travel, Leisure &Hospitality"
OCNCASH,0049,True,Personal Goods
KENANGA,6483,False,Other Financials
PARAMON,1724,True,Property
SYNERGY,0279,True,Houshold Goods
KRONO,0176,True,Digital Services
JHM,0127,True,Semiconductors
SURIA,6521,True,Transportation &Logistics Services
UNITRAD,0247,False,Building Materials
JKGLAND,6769,True,Property
LUXCHEM,5143,True,Chemicals
RKI,7006,True,Houshold Goods
PMCORP,4081,False,"Travel, Leisure &Hospitality"
MNRB,6459,False,Insurance
AIRPORT,5014,False,Transportation &Logistics Services
GLOTEC,5220,True,"Industrial Materials, Components &Equipment"
ORIENT,4006,False,Automotive
MHC,5026,True,Plantation
NGGB,7241,True,Industrial Services
SIGN,7246,True,Houshold Goods
SAB,5134,False,Chemicals
SEDANIA,0178,True,Telecommunications Equipment
ZHULIAN,5131,True,Consumer Services
DSS,0269,True,Packaging Materials
DRBHCOM,1619,True,Automotive
BINACOM,0195,True,Telecommunications Service Providers
GOB,1147,True,Property
PLABS,0171,False,Agricultural Products
TEKSENG,7200,True,Houshold Goods
ASIAFLE,7129,True,Consumer Services
MALTON,6181,True,Property
UMCCA,2593,True,Plantation
MKH,6114,True,Property
YTL,4677,False,"Gas, Water &Multi-Utilities"
CJCEN,7117,True,Transportation &Logistics Services
UOADEV,5200,True,Property
ACO,0218,True,Industrial Services
SHCHAN,4316,True,Plantation
BLDPLNT,5069,True,Plantation
BCB,6602,True,Property
MUDAJYA,5085,True,Construction
EDARAN,5036,True,Technology Equipment
EMETALL,7217,True,Metals
SENTRAL,5123,False,Real Estate Investment Trusts
ARTRONIQ,0038,True,Chemicals
MITRA,9571,True,Construction
ROHAS,9741,True,Industrial Engineering
DKLS,7528,True,Construction
